POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"1143826144","5800",O NINHO DO OURIÇO,N,-9.14467,38.73197,Restaurante,"1106","44","013","02","11064401302","022406",Lisboa
"1143826143","5800",SALDANHA MAR,N,-9.14395,38.73105,Restaurante,"1106","44","024","01","11064402401","022406",Lisboa
"1143827122","5800",FOOD GALLERY-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827121","5800",PASSEIO ANTIGO-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827124","5800",MY BISTRO-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827126","5800",OREGANO-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827125","5800",LA PAUSA RESTAURANTE-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827125","5800",LA PAUSA RESTAURANTE-HUM. DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827127","5800",SERVEJARIA-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827114","5800",GRAB & FLY-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143826147","5800",MOMA GRILL,N,-9.13698,38.71002,Restaurante,"1106","48","006","04","11064800604","022406",Lisboa
"1143827116","5800",TASTY 2 GO-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827115","5800",PIZZA HUT-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827118","5800",CLOCKS-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827117","5800",COCKPIT DRINK & TAPAS-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827117","5800",COCKPIT DRINK & TAPAS-HUM. DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827120","5800",AIR TASTY-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143826149","5800",OISHI SUSHI,N,-9.13706,38.71023,Restaurante,"1106","48","006","04","11064800604","022406",Lisboa
"1143827119","5800",HARRODS BUFFET-HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1143827135","5800",RESTAURANTE EIRA VELHA,N,-9.14615,38.74575,Restaurante,"1106","04","013","02","11060401302","022406",Lisboa
"1143827134","5800",VENHA & VOLTE,N,-9.14599,38.74551,Restaurante,"1106","04","013","02","11060401302","022406",Lisboa
